GENDER,CAR,REALITY,NO_OF_CHILD,INCOME,INCOME_TYPE,EDUCATION_TYPE,FAMILY_TYPE,HOUSE_TYPE,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET
0,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,29,59,3,0
1,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,1.0,4,52,8,0
1,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,1.0,26,52,8,0
1,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,1.0,26,52,8,0
1,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,1.0,38,52,8,0
0,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,2.0,5,46,2,0
0,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,2.0,42,46,2,0
0,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,17,49,3,0
0,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,16,49,3,0
0,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,8,49,3,0
0,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,22,49,3,0
0,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,7,49,3,0
0,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,2.0,3,49,3,0
1,1,0,0,130500.0,Working,Incomplete higher,Married,House / apartment,0,0,0,2.0,25,29,3,0
1,1,0,0,130500.0,Working,Incomplete higher,Married,House / apartment,0,0,0,2.0,30,29,3,0
1,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,31,27,4,0
1,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,19,27,4,0
1,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,34,27,4,0
0,1,1,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,5.0,24,35,3,0
0,1,1,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,5.0,18,35,3,0
0,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,3.0,39,32,6,0
0,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,3.0,13,32,6,0
0,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,3.0,55,32,6,0
0,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,3.0,4,32,6,0
0,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,3.0,8,32,6,0
0,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,3.0,29,32,6,0
0,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,43,56,12,0
0,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,11,56,12,0
0,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,46,56,12,0
0,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,51,56,12,0
0,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,25,56,12,0
0,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,11,56,12,0
0,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,0,56,12,0
0,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,2.0,39,56,12,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,39,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,28,43,9,0
1,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,4.0,3,43,9,0
